ID,Position X,Position Y,Position Z,raw int ch1,raw int ch2,raw int ch3,raw int ch4,norm in ch2,norm int ch3,norm int ch4,binary fate 1,binary fate 2,binary fate 3,outside_bool,num_nbrs,num_nbrs_outside,num_nbrs_inside,nbr_ids,nbr_dist_mean,nbr_dist_range
50,2504.72998046875,1803.699951171875,3189.780029296875,800.344970703125,195.58399963378906,835.8250122070312,374.41400146484375,0.24437462193579246,1.0443309357872719,0.46781577341069663,1,0,1,0.0,10.0,5.0,5.0,[  3   9  15  51  56  62  67 187 195 196],17.447232385975617,14.626199119633885
51,2496.4599609375,1813.3399658203125,3190.840087890625,977.8679809570312,197.82200622558594,285.8290100097656,1925.1300048828125,0.2022992981444992,0.2922981584180997,1.9687013404393339,0,1,1,1.0,8.0,5.0,3.0,[  3   9  50  56  61  62  67 196],21.739447978706963,13.979211271092101
56,2493.35009765625,1818.8800048828125,3209.510009765625,455.9679870605469,134.71299743652344,191.2169952392578,1131.52001953125,0.29544398128686,0.4193649568952449,2.481577767829122,0,0,1,1.0,6.0,3.0,3.0,[  9  50  51  59  67 196],25.638904742216738,10.3881200804869
59,2508.659912109375,1805.800048828125,3220.469970703125,113.5270004272461,87.62940216064453,80.13520050048828,427.15899658203125,0.7718815949585661,0.7058690901627672,3.7626203015535196,0,1,1,1.0,5.0,2.0,3.0,[  9  21  56  67 196],25.103737788965134,6.203677926372897
60,2535.280029296875,1802.8800048828125,3181.050048828125,1031.449951171875,249.5679931640625,1245.530029296875,174.156005859375,0.2419584128929547,1.2075525602398587,0.16884581327626105,0,0,1,1.0,13.0,6.0,7.0,[ 14  15  16  61  62  63  64  66 187 189 192 193 194],18.528180221513654,22.530926367835626
61,2516.760009765625,1826.0799560546875,3182.610107421875,1125.3499755859375,183.95399475097656,230.12399291992188,936.2529907226562,0.16346381014066044,0.2044910453746648,0.8319660648103503,0,1,0,1.0,8.0,6.0,2.0,[ 51  60  62  63  64  65  67 103],23.88741037637937,15.058597391432096
62,2515.070068359375,1809.489990234375,3183.070068359375,914.9000244140625,232.81399536132812,1071.4000244140625,154.4459991455078,0.2544693290509324,1.1710569415496832,0.16881188657134535,0,0,0,1.0,10.0,5.0,5.0,[  3  14  15  50  51  60  61  64  67 187],18.46645170146933,15.626703548590585
63,2544.409912109375,1817.5,3182.719970703125,1320.47998046875,249.51300048828125,408.9859924316406,2005.4000244140625,0.18895629178695159,0.3097252502733566,1.5186902142220864,0,0,0,1.0,8.0,6.0,2.0,[ 34  60  61  64  65  66 189 190],17.815596607694573,16.78606600941957
64,2529.719970703125,1819.530029296875,3184.679931640625,682.2919921875,203.5540008544922,832.3330078125,143.91700744628906,0.29833854593819376,1.2199073378304686,0.2109316965378356,0,1,0,0.0,10.0,7.0,3.0,[ 60  61  62  63  65  67 103 187 189 190],18.57109820728602,16.608125751186698
65,2545.239990234375,1828.93994140625,3187.389892578125,1009.1199951171875,218.82400512695312,225.24600219726562,1102.260009765625,0.2168463673158527,0.22321032512204672,1.0922982550133904,1,0,0,1.0,5.0,4.0,1.0,[ 61  63  64  66 190],20.196951825235423,16.635322566796674
