cell_id1,cell_id2,outside_bool1,outside_bool2,nbr_dist
3.0,9.0,1.0,1.0,17.584008244065334
3.0,14.0,1.0,1.0,28.772876218478892
3.0,15.0,1.0,0.0,17.84832759278334
3.0,17.0,1.0,1.0,17.64431400769168
3.0,19.0,1.0,1.0,25.18643156866642
3.0,21.0,1.0,0.0,21.250818468207623
3.0,50.0,1.0,0.0,16.412297647366213
3.0,51.0,1.0,1.0,26.07470004119725
3.0,62.0,1.0,1.0,26.94179293706357
3.0,195.0,1.0,0.0,14.891451531494422
3.0,196.0,1.0,0.0,9.504676511683863
9.0,17.0,1.0,1.0,27.00031223077953
9.0,19.0,1.0,1.0,30.35069456221872
9.0,21.0,1.0,0.0,20.876203601154153
9.0,50.0,1.0,0.0,22.301010597387386
9.0,51.0,1.0,1.0,26.724674373370075
9.0,56.0,1.0,1.0,27.02685790570126
9.0,59.0,1.0,1.0,22.424179511984015
9.0,196.0,1.0,0.0,11.362204182979072
14.0,15.0,1.0,0.0,12.97149519303443
14.0,16.0,1.0,1.0,16.858519238539298
14.0,17.0,1.0,1.0,21.024268227476785
14.0,19.0,1.0,1.0,26.67098422007174
14.0,34.0,1.0,1.0,28.449755148051874
14.0,60.0,1.0,1.0,17.03046740212508
14.0,62.0,1.0,1.0,25.913030945133894
14.0,66.0,1.0,1.0,27.071575824493973
14.0,187.0,1.0,0.0,20.90428674001376
14.0,191.0,1.0,1.0,20.39607378370956
14.0,193.0,1.0,0.0,10.453441672097222
14.0,194.0,1.0,0.0,15.423977269425778
14.0,195.0,1.0,0.0,17.53512376470822
15.0,17.0,0.0,1.0,18.34680103495988
15.0,50.0,0.0,0.0,17.242376718403264
15.0,60.0,0.0,1.0,20.99582860876829
15.0,62.0,0.0,1.0,16.80060532820802
15.0,187.0,0.0,0.0,14.782227604819306
15.0,194.0,0.0,0.0,12.864289000138967
15.0,195.0,0.0,0.0,9.192749691276704
16.0,19.0,1.0,1.0,28.462815037719064
16.0,20.0,1.0,1.0,14.664695476615412
16.0,34.0,1.0,1.0,16.088065592083087
16.0,60.0,1.0,1.0,22.508347531414167
16.0,66.0,1.0,1.0,21.157971625169512
16.0,191.0,1.0,1.0,14.924249360283236
16.0,192.0,1.0,0.0,9.591962731725062
16.0,193.0,1.0,0.0,8.901323650042288
17.0,19.0,1.0,1.0,8.952512916559884
17.0,21.0,1.0,0.0,12.813195751652245
17.0,191.0,1.0,1.0,17.051427520005173
17.0,194.0,1.0,0.0,18.26242660211361
